Enonce;Reponse 1;Reponse 2;Reponse 3;Reponse Correcte
Comment la cryptographie aide-t-elle à garder les messages secrets ?;En utilisant des couleurs;En transformant les mots en images;En envoyant des messages à haute vitesse;En changeant les messages originaux en messages codés
Quel est l'outil utilisé pour décoder un message chiffré ?;Loupe;Gomme;Stylo;Clé
Quel est le nom du message original avant d'être chiffré ?;Message secret;Message mystère;Message codé;Message clair
Quel type de cryptographie utilise des images pour cacher des messages ?;Cryptographie imaginaire;Cryptographie graphique;Cryptographie picturale;Cryptographie visuelle
Quel est le terme utilisé pour le destinataire d'un message chiffré ?;Détective;Découvreur;Enquêteur;Récepteur
Quel est le nom du processus de transformation d'un message clair en un message chiffré ?;Cryptanalyse;Décryptage;Encodage;Chiffrage
Quel type de cryptographie utilise des codes pour représenter chaque lettre ?;Cryptographie numérique;Cryptographie textuelle;Cryptographie symbolique;Cryptographie alphabétique
Qu'est-ce qu'une clé en cryptographie ?;Un outil pour ouvrir des coffres-forts;Une image utilisée pour crypter les messages;Un mot de passe;Une chaine de caractères pour chiffrer et déchiffrer des messages
Que signifie le terme "décrypter" en cryptographie ?;Décoder un message chiffré dont on est le destinataire;Détection d'erreurs dans un message;Le fait de cacher un message;Décoder un message chiffré dont on est pas le destinataire
Quel est l'objectif principal de la cryptographie ?;Envoyer des messages très rapidement;Créer des messages amusants;Rendre les messages illisibles pour tout le monde;Protéger les messages contre les inconnus
